date,receipt_id,store_id,sku_id,customer_id,quantity,unit_price,total_value,channel,discount_pct,promo_id
2025-04-02,RCPT00000001,ST16,SKU02498,CUST01410,1,2379.11,2379.11,In-Store,0.0,NO_PROMO
2025-04-02,RCPT00000001,ST16,SKU04596,CUST01410,3,335.55,1006.65,In-Store,0.0,NO_PROMO
2022-04-24,RCPT00000002,ST15,SKU00078,CUST00134,1,820.53,820.53,Online,0.0,NO_PROMO
2022-04-24,RCPT00000002,ST15,SKU00554,CUST00134,2,88.32,176.64,Online,0.0,NO_PROMO
2024-09-22,RCPT00000003,ST20,SKU03727,CUST08826,1,1660.93,1660.93,Online,0.0,NO_PROMO
2024-09-22,RCPT00000003,ST20,SKU03971,CUST08826,2,1736.31,3472.62,Online,0.0,NO_PROMO
2025-10-06,RCPT00000004,ST21,SKU04378,CUST02089,1,224.62,224.62,Online,0.0,NO_PROMO
2024-12-12,RCPT00000005,ST20,SKU00884,CUST04932,1,202.79,202.79,In-Store,0.0,NO_PROMO
2025-12-08,RCPT00000006,ST08,SKU02757,CUST09022,1,191.03,191.03,In-Store,0.0,NO_PROMO
2024-01-13,RCPT00000007,ST18,SKU03661,CUST01032,1,195.37,195.37,Online,0.0,NO_PROMO
2024-01-13,RCPT00000007,ST18,SKU03820,CUST01032,3,961.05,2883.15,Online,0.0,NO_PROMO
2024-09-15,RCPT00000008,ST25,SKU01535,CUST04707,2,296.6,593.2,Online,0.0,NO_PROMO
2025-05-20,RCPT00000009,ST19,SKU02333,CUST00369,1,53.1,53.1,Online,0.0,NO_PROMO
2025-05-20,RCPT00000009,ST19,SKU01371,CUST00369,3,1277.61,3832.83,Online,0.0,NO_PROMO
2022-11-19,RCPT00000010,ST23,SKU00830,CUST03274,3,290.01,870.03,In-Store,0.0,NO_PROMO
2023-08-02,RCPT00000011,ST06,SKU00004,CUST09902,2,233.64,467.28,Online,49.7,PROMO030
2025-09-11,RCPT00000012,ST18,SKU01811,CUST08226,1,1351.94,1351.94,In-Store,0.0,NO_PROMO
2022-02-04,RCPT00000013,ST27,SKU02848,CUST08415,3,334.01,1002.03,In-Store,0.0,NO_PROMO
