lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,week_number,month,quarter,season,actual_demand,forecast_demand,store_id,sku_id,stock_on_hand,reorder_point,safety_stock,stockout_gap,overstock_gap,stockout_risk,overstock_risk,risk_type,risk_severity,priority,action,unit_price,cost_price,stockout_units_at_risk,overstock_units_at_risk,sales_at_risk_rupees,locked_capital_rupees,rupee_value_at_stake
4.0,1.0,5.0,2.0,3.0,2.5,46,11,4,Autumn,4,2.87,ST27,SKU03633,0.0,23.0,10.0,-7.13,-2.87,True,False,Stockout,7.13,Low,Reorder Now,118.27,78.05,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,1.25,1.625,23,6,2,Summer,2,1.5445000000000004,ST28,SKU02719,0.0,0.0,0.0,1.5445000000000004,-1.5445000000000004,True,False,Stockout,1.5445000000000004,Low,Reorder Now,1796.28,1106.92,1.5445000000000004,0.0,2774.354460000001,0.0,2774.354460000001
2.0,2.0,1.0,1.0,1.5,1.75,27,7,3,Summer,2,3.505,ST28,SKU01048,0.0,0.0,0.0,3.505,-3.505,True,False,Stockout,3.505,Low,Reorder Now,96.18,54.31,3.505,0.0,337.1109,0.0,337.1109
2.0,2.0,1.0,4.0,1.75,1.875,31,8,3,Summer,3,2.423,ST28,SKU02657,0.0,61.0,20.0,-17.576999999999998,-2.423,True,False,Stockout,17.576999999999998,Medium,Reorder Now,128.75,72.43,0.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,2.0,2.25,1.75,32,8,3,Summer,2,2.6,ST29,SKU04551,0.0,70.0,18.0,-15.4,-2.6,True,False,Stockout,15.4,Medium,Reorder Now,2498.23,1452.98,0.0,0.0,0.0,0.0,0.0
2.0,3.0,2.0,1.0,2.25,1.75,38,9,3,Autumn,2,2.145,ST17,SKU04947,0.0,0.0,0.0,2.145,-2.145,True,False,Stockout,2.145,Low,Reorder Now,546.17,408.54,2.145,0.0,1171.5346499999998,0.0,1171.5346499999998
2.0,2.0,2.0,1.0,2.25,1.875,47,11,4,Autumn,2,1.85,ST13,SKU00685,0.0,0.0,0.0,1.85,-1.85,True,False,Stockout,1.85,Low,Reorder Now,2583.23,1816.98,1.85,0.0,4778.9755000000005,0.0,4778.9755000000005
2.0,2.0,3.0,1.0,2.25,2.0,48,11,4,Autumn,1,1.55,ST04,SKU00286,0.0,62.0,29.0,-27.45,-1.55,True,False,Stockout,27.45,Medium,Reorder Now,64.45,51.29,0.0,0.0,0.0,0.0,0.0
1.0,2.0,2.0,2.0,1.75,2.0,6,2,1,Winter,2,2.0984761904761906,ST04,SKU03046,0.0,0.0,0.0,2.0984761904761906,-2.0984761904761906,True,False,Stockout,2.0984761904761906,Low,Reorder Now,109.87,73.34,2.0984761904761906,0.0,230.55957904761908,0.0,230.55957904761908
2.0,1.0,2.0,2.0,1.75,2.0,45,11,4,Autumn,1,2.155,ST28,SKU04601,0.0,0.0,0.0,2.155,-2.155,True,False,Stockout,2.155,Low,Reorder Now,346.35,217.65,2.155,0.0,746.38425,0.0,746.38425
1.0,2.0,2.0,2.0,1.5,1.875,2,1,1,Winter,1,2.3779999999999997,ST24,SKU04681,0.0,0.0,0.0,2.3779999999999997,-2.3779999999999997,True,False,Stockout,2.3779999999999997,Low,Reorder Now,215.11,130.73,2.3779999999999997,0.0,511.53157999999996,0.0,511.53157999999996
1.0,1.0,1.0,3.0,1.25,1.75,13,3,1,Spring,2,1.7475,ST24,SKU03292,0.0,0.0,0.0,1.7475,-1.7475,True,False,Stockout,1.7475,Low,Reorder Now,164.03,112.68,1.7475,0.0,286.642425,0.0,286.642425
2.0,1.0,2.0,2.0,1.5,1.625,18,4,2,Spring,1,3.1205000000000003,ST06,SKU02950,0.0,56.0,21.0,-17.8795,-3.1205000000000003,True,False,Stockout,17.8795,Medium,Reorder Now,251.09,183.84,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.0,2.0,1.25,1.5,23,6,2,Summer,2,1.8531666666666666,ST21,SKU04321,0.0,30.0,11.0,-9.146833333333333,-1.8531666666666666,True,False,Stockout,9.146833333333333,Low,Reorder Now,961.3,658.32,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,2.0,1.5,1.5,31,7,3,Summer,1,2.0416666666666665,ST21,SKU04444,0.0,0.0,0.0,2.0416666666666665,-2.0416666666666665,True,False,Stockout,2.0416666666666665,Low,Reorder Now,1363.32,905.95,2.0416666666666665,0.0,2783.4449999999997,0.0,2783.4449999999997
1.0,2.0,2.0,1.0,1.5,1.375,42,10,4,Autumn,4,1.921,ST21,SKU03042,0.0,0.0,0.0,1.921,-1.921,True,False,Stockout,1.921,Low,Reorder Now,2656.05,1978.64,1.921,0.0,5102.2720500000005,0.0,5102.2720500000005
4.0,1.0,1.0,2.0,2.0,1.75,49,12,4,Winter,2,1.69,ST21,SKU04164,0.0,0.0,0.0,1.69,-1.69,True,False,Stockout,1.69,Low,Reorder Now,159.68,121.31,1.69,0.0,269.8592,0.0,269.8592
2.0,4.0,2.0,1.0,2.25,1.75,51,12,4,Winter,4,2.312333333333333,ST21,SKU02161,0.0,0.0,0.0,2.312333333333333,-2.312333333333333,True,False,Stockout,2.312333333333333,Low,Reorder Now,130.68,95.13,2.312333333333333,0.0,302.17572,0.0,302.17572
2.0,2.0,2.0,2.0,2.25,2.375,36,9,3,Autumn,3,2.57,ST30,SKU02840,0.0,0.0,0.0,2.57,-2.57,True,False,Stockout,2.57,Low,Reorder Now,267.04,174.46,2.57,0.0,686.2928,0.0,686.2928
3.0,2.0,3.0,1.0,2.5,2.5,48,11,4,Autumn,1,2.82,ST30,SKU01274,0.0,43.0,17.0,-14.18,-2.82,True,False,Stockout,14.18,Medium,Reorder Now,558.36,313.23,0.0,0.0,0.0,0.0,0.0
1.0,3.0,2.0,5.0,2.0,2.5,3,1,1,Winter,1,1.85,ST22,SKU02992,0.0,0.0,0.0,1.85,-1.85,True,False,Stockout,1.85,Low,Reorder Now,368.13,284.9,1.85,0.0,681.0405000000001,0.0,681.0405000000001
1.0,1.0,2.0,2.0,1.75,2.0,5,1,1,Winter,1,2.1526666666666667,ST07,SKU01957,0.0,0.0,0.0,2.1526666666666667,-2.1526666666666667,True,False,Stockout,2.1526666666666667,Low,Reorder Now,550.16,412.07,2.1526666666666667,0.0,1184.3110933333332,0.0,1184.3110933333332
1.0,1.0,3.0,2.0,1.5,1.875,9,2,1,Winter,1,2.55,ST07,SKU00027,0.0,0.0,0.0,2.55,-2.55,True,False,Stockout,2.55,Low,Reorder Now,608.24,435.8,2.55,0.0,1551.012,0.0,1551.012
1.0,1.0,1.0,3.0,1.0,1.75,19,5,2,Spring,1,3.1833333333333336,ST21,SKU04948,0.0,0.0,0.0,3.1833333333333336,-3.1833333333333336,True,False,Stockout,3.1833333333333336,Low,Reorder Now,288.18,228.98,3.1833333333333336,0.0,917.373,0.0,917.373
1.0,1.0,1.0,2.0,1.0,1.5,31,7,3,Summer,2,1.3063809523809522,ST21,SKU00740,0.0,0.0,0.0,1.3063809523809522,-1.3063809523809522,True,False,Stockout,1.3063809523809522,Low,Reorder Now,152.31,98.82,1.3063809523809522,0.0,198.97488285714283,0.0,198.97488285714283
2.0,1.0,1.0,2.0,1.25,1.5,39,9,3,Autumn,1,1.8173333333333335,ST24,SKU00040,0.0,0.0,0.0,1.8173333333333335,-1.8173333333333335,True,False,Stockout,1.8173333333333335,Low,Reorder Now,206.7,118.43,1.8173333333333335,0.0,375.6428,0.0,375.6428
1.0,2.0,1.0,3.0,1.25,1.375,43,10,4,Autumn,2,1.8070000000000002,ST24,SKU04155,0.0,0.0,0.0,1.8070000000000002,-1.8070000000000002,True,False,Stockout,1.8070000000000002,Low,Reorder Now,2612.22,1814.8,1.8070000000000002,0.0,4720.28154,0.0,4720.28154
2.0,1.0,1.0,1.0,1.5,1.25,49,12,4,Winter,1,1.1225,ST20,SKU00920,0.0,0.0,0.0,1.1225,-1.1225,True,False,Stockout,1.1225,Low,Reorder Now,114.73,87.31,1.1225,0.0,128.784425,0.0,128.784425
1.0,1.0,1.0,1.0,1.25,2.125,35,8,3,Summer,3,2.35575,ST30,SKU03443,0.0,0.0,0.0,2.35575,-2.35575,True,False,Stockout,2.35575,Low,Reorder Now,100.22,72.66,2.35575,0.0,236.093265,0.0,236.093265
3.0,1.0,2.0,4.0,1.75,2.375,50,12,4,Winter,3,2.5,ST03,SKU02296,0.0,0.0,0.0,2.5,-2.5,True,False,Stockout,2.5,Low,Reorder Now,1019.37,686.74,2.5,0.0,2548.425,0.0,2548.425
3.0,3.0,1.0,2.0,2.0,2.25,51,12,4,Winter,2,1.9425,ST12,SKU00509,0.0,0.0,0.0,1.9425,-1.9425,True,False,Stockout,1.9425,Low,Reorder Now,238.23,173.39,1.9425,0.0,462.76177499999994,0.0,462.76177499999994
2.0,3.0,1.0,5.0,2.25,2.25,1,12,4,Winter,1,2.03,ST13,SKU04765,0.0,0.0,0.0,2.03,-2.03,True,False,Stockout,2.03,Low,Reorder Now,2309.27,1837.98,2.03,0.0,4687.8180999999995,0.0,4687.8180999999995
1.0,2.0,3.0,1.0,2.25,1.75,18,4,2,Spring,2,1.6833333333333331,ST27,SKU03335,0.0,0.0,0.0,1.6833333333333331,-1.6833333333333331,True,False,Stockout,1.6833333333333331,Low,Reorder Now,401.36,286.32,1.6833333333333331,0.0,675.6226666666666,0.0,675.6226666666666
2.0,1.0,3.0,2.0,2.0,1.875,37,9,3,Autumn,2,1.675,ST27,SKU02392,0.0,0.0,0.0,1.675,-1.675,True,False,Stockout,1.675,Low,Reorder Now,132.22,77.09,1.675,0.0,221.4685,0.0,221.4685
2.0,2.0,1.0,2.0,2.0,1.875,2,1,1,Winter,3,1.98,ST13,SKU02433,0.0,0.0,0.0,1.98,-1.98,True,False,Stockout,1.98,Low,Reorder Now,89.32,69.88,1.98,0.0,176.85359999999997,0.0,176.85359999999997
3.0,2.0,3.0,2.0,2.5,2.0,23,6,2,Summer,1,1.84,ST13,SKU01030,0.0,33.0,14.0,-12.16,-1.84,True,False,Stockout,12.16,Medium,Reorder Now,224.5,155.47,0.0,0.0,0.0,0.0,0.0
1.0,3.0,2.0,2.0,2.0,1.875,24,6,2,Summer,1,2.06,ST13,SKU00774,0.0,86.0,38.0,-35.94,-2.06,True,False,Stockout,35.94,Medium,Reorder Now,94.61,73.97,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,1.0,1.75,1.75,30,7,3,Summer,2,1.9533333333333334,ST08,SKU04596,0.0,0.0,0.0,1.9533333333333334,-1.9533333333333334,True,False,Stockout,1.9533333333333334,Low,Reorder Now,335.55,242.79,1.9533333333333334,0.0,655.441,0.0,655.441
2.0,1.0,3.0,1.0,1.75,1.875,39,9,3,Autumn,1,1.356666666666667,ST08,SKU03296,0.0,0.0,0.0,1.356666666666667,-1.356666666666667,True,False,Stockout,1.356666666666667,Low,Reorder Now,3683.62,2228.19,1.356666666666667,0.0,4997.444466666668,0.0,4997.444466666668
1.0,1.0,6.0,2.0,2.75,2.25,6,2,1,Winter,2,1.77,ST17,SKU01534,0.0,0.0,0.0,1.77,-1.77,True,False,Stockout,1.77,Low,Reorder Now,2964.57,2016.22,1.77,0.0,5247.2889000000005,0.0,5247.2889000000005
2.0,1.0,3.0,2.0,1.75,2.25,12,3,1,Spring,1,2.1,ST17,SKU00365,0.0,0.0,0.0,2.1,-2.1,True,False,Stockout,2.1,Low,Reorder Now,78.0,61.69,2.1,0.0,163.8,0.0,163.8
1.0,2.0,1.0,2.0,1.25,2.125,18,4,2,Spring,1,1.705,ST17,SKU02758,0.0,0.0,0.0,1.705,-1.705,True,False,Stockout,1.705,Low,Reorder Now,198.33,149.77,1.705,0.0,338.15265000000005,0.0,338.15265000000005
1.0,1.0,1.0,1.0,1.25,2.0,20,5,2,Spring,2,2.1,ST06,SKU03854,0.0,0.0,0.0,2.1,-2.1,True,False,Stockout,2.1,Low,Reorder Now,482.43,337.85,2.1,0.0,1013.1030000000001,0.0,1013.1030000000001
2.0,1.0,2.0,6.0,1.5,2.125,32,8,3,Summer,1,2.5,ST14,SKU03228,0.0,0.0,0.0,2.5,-2.5,True,False,Stockout,2.5,Low,Reorder Now,398.21,254.48,2.5,0.0,995.525,0.0,995.525
1.0,2.0,1.0,3.0,1.25,1.5,34,8,3,Summer,1,1.866666666666667,ST04,SKU00285,0.0,21.0,5.0,-3.133333333333333,-1.866666666666667,True,False,Stockout,3.133333333333333,Low,Reorder Now,505.67,387.2,0.0,0.0,0.0,0.0,0.0
