week,sku_id,weekly_quantity,baseline_forecast
2025-01-07,SKU00001,0.0,0.0
2025-01-14,SKU00001,0.0,0.0
2025-01-21,SKU00001,0.0,0.0
2025-01-28,SKU00001,0.0,0.0
2025-02-04,SKU00001,0.0,0.0
2025-02-11,SKU00001,0.0,0.0
2025-02-18,SKU00001,0.0,0.0
2025-02-25,SKU00001,0.0,0.0
2025-03-04,SKU00001,0.0,0.0
2025-03-11,SKU00001,0.0,0.0
2025-03-18,SKU00001,0.0,2.0
2025-03-25,SKU00001,0.0,0.0
2025-04-01,SKU00001,0.0,0.0
2025-04-08,SKU00001,0.0,0.0
2025-04-15,SKU00001,1.0,0.0
2025-04-22,SKU00001,0.0,0.0
2025-04-29,SKU00001,0.0,0.0
2025-05-06,SKU00001,0.0,0.0
2025-05-13,SKU00001,1.0,0.0
2025-05-20,SKU00001,0.0,0.0
2025-05-27,SKU00001,0.0,0.0
2025-06-03,SKU00001,0.0,0.0
2025-06-10,SKU00001,0.0,0.0
2025-06-17,SKU00001,0.0,0.0
2025-06-24,SKU00001,0.0,0.0
2025-07-01,SKU00001,0.0,0.0
2025-07-08,SKU00001,0.0,0.0
2025-07-15,SKU00001,0.0,0.0
2025-07-22,SKU00001,0.0,0.0
2025-07-29,SKU00001,0.0,0.0
2025-08-05,SKU00001,0.0,1.0
2025-08-12,SKU00001,0.0,0.0
2025-08-19,SKU00001,5.0,0.0
2025-08-26,SKU00001,0.0,0.0
2025-09-02,SKU00001,0.0,0.0
2025-09-09,SKU00001,1.0,0.0
2025-09-16,SKU00001,0.0,0.0
2025-09-23,SKU00001,0.0,0.0
2025-09-30,SKU00001,2.0,0.0
2025-10-07,SKU00001,1.0,0.0
2025-10-14,SKU00001,0.0,0.0
2025-10-21,SKU00001,0.0,0.0
2025-10-28,SKU00001,3.0,0.0
2025-11-04,SKU00001,0.0,0.0
2025-11-11,SKU00001,1.0,0.0
2025-11-18,SKU00001,0.0,0.0
2025-11-25,SKU00001,0.0,2.0
2025-12-02,SKU00001,0.0,0.0
