sku_id,flag,affected_stores,window_start,window_end,notes
SKU04321,STOCKOUT_RISK,ST12;ST28;ST25;ST11;ST20;ST15;ST21;ST04;ST03,2025-11-13,2025-12-11,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04596,STOCKOUT_RISK,ST30;ST11;ST16;ST17;ST24;ST22;ST13;ST07;ST20;ST27,2025-10-31,2025-11-17,High-demand SKU; simulated recent stockout window causes lost sales.
SKU03727,STOCKOUT_RISK,ST27;ST07;ST11;ST15;ST06;ST08;ST16;ST02;ST20;ST17;ST28;ST01;ST29;ST10;ST04;ST21,2025-10-17,2025-10-29,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04154,STOCKOUT_RISK,ST25;ST26;ST30;ST29;ST22;ST06;ST13;ST11;ST09;ST14;ST04;ST02;ST21,2025-10-28,2025-11-24,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00953,STOCKOUT_RISK,ST07;ST04;ST12;ST08;ST25;ST28;ST15;ST16;ST10,2025-12-15,2025-12-29,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00190,STOCKOUT_RISK,ST02;ST04;ST29;ST22;ST19;ST10;ST09;ST06;ST21;ST03;ST20;ST17;ST14;ST13;ST07;ST08;ST15,2025-11-06,2025-11-29,High-demand SKU; simulated recent stockout window causes lost sales.
SKU02141,STOCKOUT_RISK,ST24;ST08;ST07;ST28;ST29;ST01;ST27;ST10;ST11,2025-11-14,2025-12-05,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00994,STOCKOUT_RISK,ST12;ST13;ST04;ST09;ST24;ST19;ST05;ST21;ST03,2025-11-03,2025-11-26,High-demand SKU; simulated recent stockout window causes lost sales.
SKU03292,STOCKOUT_RISK,ST06;ST12;ST19;ST22;ST05;ST16;ST30;ST02;ST03;ST01;ST28;ST04,2025-12-16,2025-12-30,High-demand SKU; simulated recent stockout window causes lost sales.
SKU01775,STOCKOUT_RISK,ST20;ST01;ST30;ST03;ST11;ST07;ST29;ST14;ST27;ST26;ST19,2025-12-13,2025-12-24,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04571,STOCKOUT_RISK,ST24;ST06;ST28;ST14;ST12;ST25;ST07;ST13;ST11;ST19;ST26;ST08;ST15;ST21,2025-11-08,2025-11-25,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00942,STOCKOUT_RISK,ST07;ST14;ST19;ST23;ST10;ST11;ST16;ST25;ST26;ST03;ST06;ST02;ST28;ST24;ST30;ST17,2025-11-06,2025-11-22,High-demand SKU; simulated recent stockout window causes lost sales.
SKU01371,STOCKOUT_RISK,ST22;ST01;ST08;ST20;ST11;ST02;ST09;ST15;ST04;ST07;ST21;ST29,2025-11-07,2025-12-06,High-demand SKU; simulated recent stockout window causes lost sales.
SKU02858,STOCKOUT_RISK,ST04;ST30;ST05;ST06;ST27;ST08;ST20;ST23;ST29;ST19;ST24,2025-12-12,2025-12-31,High-demand SKU; simulated recent stockout window causes lost sales.
SKU01420,STOCKOUT_RISK,ST30;ST10;ST08;ST28;ST06;ST13;ST19;ST25;ST21;ST20;ST04;ST24;ST15;ST18;ST12,2025-10-17,2025-11-09,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00079,STOCKOUT_RISK,ST09;ST13;ST20;ST19;ST14;ST17;ST25;ST24;ST21;ST12;ST22;ST01,2025-11-20,2025-12-17,High-demand SKU; simulated recent stockout window causes lost sales.
SKU01045,STOCKOUT_RISK,ST01;ST21;ST03;ST17;ST10;ST04;ST30;ST14;ST22;ST29;ST26;ST08;ST15;ST09;ST07;ST06,2025-10-22,2025-11-07,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00285,STOCKOUT_RISK,ST16;ST20;ST09;ST06;ST03;ST19;ST04;ST23;ST01;ST22;ST13;ST07;ST17;ST15;ST14,2025-11-29,2025-12-17,High-demand SKU; simulated recent stockout window causes lost sales.
SKU02930,STOCKOUT_RISK,ST13;ST17;ST07;ST27;ST02;ST05;ST21;ST06;ST10;ST29;ST01,2025-10-23,2025-11-05,High-demand SKU; simulated recent stockout window causes lost sales.
SKU03088,STOCKOUT_RISK,ST30;ST14;ST25;ST17;ST10;ST03;ST23;ST29;ST13;ST19;ST15;ST18,2025-11-27,2025-12-14,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00286,STOCKOUT_RISK,ST30;ST15;ST27;ST09;ST12;ST26;ST23;ST20;ST17;ST01;ST14;ST04,2025-11-27,2025-12-12,High-demand SKU; simulated recent stockout window causes lost sales.
SKU02954,STOCKOUT_RISK,ST26;ST21;ST13;ST12;ST16;ST24;ST18;ST29;ST23;ST22;ST30;ST09;ST27,2025-12-17,2025-12-28,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04381,STOCKOUT_RISK,ST10;ST08;ST28;ST15;ST20;ST05;ST17;ST01;ST13;ST26;ST23;ST04,2025-12-07,2025-12-27,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00845,STOCKOUT_RISK,ST23;ST03;ST13;ST27;ST29;ST10;ST12;ST30;ST24;ST28;ST02,2025-11-10,2025-11-24,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04329,STOCKOUT_RISK,ST23;ST25;ST12;ST28;ST24;ST07;ST15;ST14;ST05;ST22;ST26;ST19;ST02;ST10;ST16;ST17;ST27,2025-10-30,2025-11-27,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04166,STOCKOUT_RISK,ST04;ST13;ST11;ST05;ST22;ST06;ST17;ST18;ST24;ST10;ST23;ST30;ST14;ST09,2025-11-22,2025-12-06,High-demand SKU; simulated recent stockout window causes lost sales.
SKU02368,STOCKOUT_RISK,ST01;ST13;ST18;ST25;ST10;ST03;ST21;ST12;ST11;ST28;ST08;ST24;ST26;ST15;ST22;ST07,2025-11-26,2025-12-23,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00002,STOCKOUT_RISK,ST10;ST08;ST28;ST25;ST09;ST23;ST06;ST13;ST14;ST07;ST03;ST22;ST20;ST30,2025-11-07,2025-12-04,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04350,STOCKOUT_RISK,ST25;ST12;ST29;ST09;ST20;ST22;ST16;ST10;ST30;ST19;ST06;ST21;ST04;ST28;ST08;ST02,2025-12-06,2025-12-21,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00264,STOCKOUT_RISK,ST11;ST01;ST28;ST03;ST29;ST18;ST17;ST16;ST04;ST23;ST10;ST05;ST20;ST30;ST07;ST24;ST09,2025-10-27,2025-11-07,High-demand SKU; simulated recent stockout window causes lost sales.
SKU01189,STOCKOUT_RISK,ST28;ST03;ST12;ST04;ST20;ST30;ST23;ST18;ST07,2025-10-17,2025-10-28,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04508,STOCKOUT_RISK,ST27;ST11;ST02;ST08;ST17;ST15;ST09;ST24;ST07;ST23;ST29;ST30;ST26,2025-11-02,2025-11-20,High-demand SKU; simulated recent stockout window causes lost sales.
SKU03840,STOCKOUT_RISK,ST03;ST22;ST07;ST09;ST16;ST13;ST23;ST15;ST24;ST28;ST01;ST02;ST18;ST11;ST06;ST12;ST10;ST17,2025-11-05,2025-11-26,High-demand SKU; simulated recent stockout window causes lost sales.
SKU04551,STOCKOUT_RISK,ST28;ST10;ST30;ST15;ST04;ST17;ST19;ST21;ST08;ST16;ST14;ST23;ST11;ST29;ST05;ST22;ST07,2025-11-30,2025-12-17,High-demand SKU; simulated recent stockout window causes lost sales.
SKU02892,STOCKOUT_RISK,ST29;ST22;ST26;ST05;ST04;ST24;ST12;ST15;ST07;ST09;ST27;ST28;ST20;ST16;ST11;ST18,2025-11-26,2025-12-08,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00376,STOCKOUT_RISK,ST02;ST30;ST14;ST11;ST18;ST10;ST01;ST07;ST16;ST13;ST15;ST21;ST29;ST22;ST26;ST17;ST27,2025-12-15,2025-12-29,High-demand SKU; simulated recent stockout window causes lost sales.
SKU00920,STOCKOUT_RISK,ST30;ST18;ST09;ST13;ST19;ST02;ST28;ST03;ST08;ST24;ST10,2025-11-26,2025-12-10,High-demand SKU; simulated recent stockout window causes lost sales.
